Date,Crypto_name,Close,Predicted_Close
2023-01-03 00:00:00+00:00,BTC,16679.857421875,16765.07376953125
2023-01-04 00:00:00+00:00,BTC,16863.23828125,16831.09087890625
2023-01-05 00:00:00+00:00,BTC,16836.736328125,16890.7726953125
2023-01-06 00:00:00+00:00,BTC,16951.96875,16929.95171875
2023-01-07 00:00:00+00:00,BTC,16955.078125,16967.25724609375
2023-01-08 00:00:00+00:00,BTC,17091.14453125,17021.68380859375
2023-01-09 00:00:00+00:00,BTC,17196.5546875,17207.39076171875
2023-01-10 00:00:00+00:00,BTC,17446.29296875,17339.591796875
2023-01-11 00:00:00+00:00,BTC,17934.896484375,17784.95984375
2023-01-12 00:00:00+00:00,BTC,18869.587890625,18459.19951171875
2023-01-13 00:00:00+00:00,BTC,19909.57421875,19820.72814453125
2023-01-14 00:00:00+00:00,BTC,20976.298828125,20900.22107421875
2023-01-15 00:00:00+00:00,BTC,20880.798828125,21053.53708984375
2023-01-16 00:00:00+00:00,BTC,21169.6328125,21192.6811328125
2023-01-17 00:00:00+00:00,BTC,21161.51953125,21138.0773046875
2023-01-18 00:00:00+00:00,BTC,20688.78125,20925.345078125
2023-01-19 00:00:00+00:00,BTC,21086.79296875,21461.607109375
2023-01-20 00:00:00+00:00,BTC,22676.552734375,21902.25765625
2023-01-21 00:00:00+00:00,BTC,22777.625,22912.256171875
2023-01-22 00:00:00+00:00,BTC,22720.416015625,22866.1102734375
2023-01-23 00:00:00+00:00,BTC,22934.431640625,22990.96853515625
2023-01-24 00:00:00+00:00,BTC,22636.46875,22503.8268359375
2023-01-25 00:00:00+00:00,BTC,23117.859375,23021.131171875
2023-01-26 00:00:00+00:00,BTC,23032.77734375,23301.644765625
2023-01-27 00:00:00+00:00,BTC,23078.728515625,23199.4684375
2023-01-28 00:00:00+00:00,BTC,23031.08984375,23080.44083984375
2023-01-29 00:00:00+00:00,BTC,23774.56640625,23456.92845703125
2023-01-30 00:00:00+00:00,BTC,22840.138671875,23099.80701171875
2023-01-31 00:00:00+00:00,BTC,23139.283203125,23015.8973828125
2023-02-01 00:00:00+00:00,BTC,23723.76953125,23624.529921875
2023-02-02 00:00:00+00:00,BTC,23471.87109375,23362.06474609375
2023-02-03 00:00:00+00:00,BTC,23449.322265625,23173.01310546875
2023-02-04 00:00:00+00:00,BTC,23331.84765625,23320.737890625
2023-02-05 00:00:00+00:00,BTC,22955.666015625,22993.6855859375
2023-02-06 00:00:00+00:00,BTC,22760.109375,22607.21578125
2023-02-07 00:00:00+00:00,BTC,23264.291015625,23083.6602734375
2023-02-08 00:00:00+00:00,BTC,22939.3984375,23001.42013671875
2023-02-09 00:00:00+00:00,BTC,21819.0390625,22221.652265625
2023-02-10 00:00:00+00:00,BTC,21651.18359375,21772.1085546875
2023-02-11 00:00:00+00:00,BTC,21870.875,21398.74212890625
2023-02-12 00:00:00+00:00,BTC,21788.203125,21774.9979296875
2023-02-13 00:00:00+00:00,BTC,21808.1015625,21855.38169921875
2023-02-14 00:00:00+00:00,BTC,22220.8046875,21977.1721484375
2023-02-15 00:00:00+00:00,BTC,24307.841796875,23686.85060546875
2023-02-16 00:00:00+00:00,BTC,23623.474609375,24041.79373046875
2023-02-17 00:00:00+00:00,BTC,24565.6015625,24204.2096484375
2023-02-18 00:00:00+00:00,BTC,24641.27734375,24534.59298828125
2023-02-19 00:00:00+00:00,BTC,24327.642578125,24409.1369140625
2023-02-20 00:00:00+00:00,BTC,24829.1484375,24530.5476953125
2023-02-21 00:00:00+00:00,BTC,24436.353515625,24460.50666015625
2023-02-22 00:00:00+00:00,BTC,24188.84375,24415.49216796875
2023-02-23 00:00:00+00:00,BTC,23947.4921875,24120.58478515625
2023-02-24 00:00:00+00:00,BTC,23198.126953125,23184.8117578125
2023-02-25 00:00:00+00:00,BTC,23175.375,23289.37470703125
2023-02-26 00:00:00+00:00,BTC,23561.212890625,23463.0017578125
